Наименование;Агент;Широта;Долгота;СуммаПродаж;КоличествоДокументов;ПериодС;ПериодПо
"Гастроном "Пальмира", ул.Гамидова 87б/1,г.Избербаш,т.8989 671 89 84 Гамид";"ТЭ Абдулманапов Гасан (чабан)";42.563825;47.871616;19 690.00;2;2026-02-01;2026-05-31
"Гастроном "Руслан" п.Инчхе ул.Морская 1,т..8909-478-53-85";"ТЭ Абдулманапов Гасан (чабан)";42.469132;47.943155;8 411.00;1;2026-02-01;2026-05-31
"Гастроном "Саида " с.Новокаякент ул.Буйнакского 1 т. 8 963 417 01 48 ";"ТЭ Абдулманапов Гасан (чабан)";42.388302;47.972415;10 962.00;1;2026-02-01;2026-05-31
"Гастроном "Салам" ул.Кизилюртовская 89 г.Избербаш т.8963 412 19 60";"ТЭ Абдулманапов Гасан (чабан)";42.586039;47.838976;21 824.00;1;2026-02-01;2026-05-31
"Гастроном "Сафия"  п.Первомайск ул.Ленина 80, т..8906-10-08-60";"ТЭ Абдулманапов Гасан (чабан)";42.493564;47.892195;14 625.00;1;2026-02-01;2026-05-31
"Гастроном "Умут" ул.Буйнакского 6 п.Манаскент т.8928 594 94 18";"ТЭ Абдулманапов Гасан (чабан)";42.738353;47.694920;10 579.00;1;2026-02-01;2026-05-31
"Гастроном "Фаина" ул.Калинина 91 с.Первомайское т. 8 964 021 25 44 ";"ТЭ Абдулманапов Гасан (чабан)";42.495419;47.889764;3 098.00;1;2026-02-01;2026-05-31
"Гастроном "Фруктовый сад" г.Избербаш  ул. Буйнакского 34 т. 8 965 949 39 49 ";"ТЭ Абдулманапов Гасан (чабан)";42.574210;47.862460;11 983.00;1;2026-02-01;2026-05-31
"Гастроном "Эконом маркет",  г.Избербаш ул.Гамидова 89 ,т.8989 671 89 84 Гамид ";"ТЭ Абдулманапов Гасан (чабан)";42.571456;47.866836;55 082.00;3;2026-02-01;2026-05-31
"Гастроном "Эконом-маркет" с. Первомайск ул. Ленина 5,т. 8967 407 24 26 Камиль.";"ТЭ Абдулманапов Гасан (чабан)";42.499588;47.900236;21 845.00;1;2026-02-01;2026-05-31
"Гастроном "Эконом" с. Первомайск ул. Сумена Курбана 53  т.8967 407 24 26 Камиль";"ТЭ Абдулманапов Гасан (чабан)";42.493109;47.897399;27 681.00;1;2026-02-01;2026-05-31
"Гастроном "Экспресс" г.Избербаш ул. Буйнакского 141,т..8903-477-11-00";"ТЭ Абдулманапов Гасан (чабан)";42.575347;47.846860;11 635.00;1;2026-02-01;2026-05-31
"Гастроном "Эльмира" ул.Чкалова 23 Первомайск г.Избербаш т.8960 419 21 27";"ТЭ Абдулманапов Гасан (чабан)";42.503096;47.892307;13 967.00;1;2026-02-01;2026-05-31
"Гастроном 17 с.Манаскент ул. Акавова (Магистральная) 17 т. 8 989 678 24 21 ";"ТЭ Абдулманапов Гасан (чабан)";42.740584;47.684170;18 179.00;2;2026-02-01;2026-05-31
"Гастроном г.Избербаш СНТ ритм 80 б (6 конечка) т.8-916-212-71-61 Сакинат";"ТЭ Абдулманапов Гасан (чабан)";42.584334;47.832755;9 114.00;1;2026-02-01;2026-05-31
"Гастроном г.Избербаш ул.Шолохова 108,т..8903-482-44-42";"ТЭ Абдулманапов Гасан (чабан)";42.549040;47.874363;7 665.00;1;2026-02-01;2026-05-31
"Гастроном с.Усемикент ул.Пролетарская т. 8 967 399 71 89 Насрула ";"ТЭ Абдулманапов Гасан (чабан)";42.390182;47.871867;11 880.00;1;2026-02-01;2026-05-31
"Гастроном"Мини-маркет Ласточка"г.Избербаш ул.Левоневского8/6,т..8964-001-77-72";"ТЭ Абдулманапов Гасан (чабан)";42.549290;47.879722;14 084.00;1;2026-02-01;2026-05-31
"Гастроном"Мини-маркет Раисат"г.Избербаш ул.Комсомольская 1,т..8960-410-31-81";"ТЭ Абдулманапов Гасан (чабан)";42.553261;47.881004;17 689.00;1;2026-02-01;2026-05-31
"Гастроном(Минимаркет) "Маяк" г.Избербаш ул. Лермонтова 5 кв 4 т.8-963-798-24-56 ";"ТЭ Абдулманапов Гасан (чабан)";42.576548;47.863199;19 189.00;3;2026-02-01;2026-05-31
"ИП Агаева Калимат А. Т/Д "Руслан" г.Избербаш ул.Маяковского 100 А 8 909 482 00 55";"ТЭ Абдулманапов Гасан (чабан)";42.561542;47.868362;117 794.00;2;2026-02-01;2026-05-31
"ИП Умалатов Руслан Т/Д "Руслан" г.Избербаш ул.Маяковского 100 А 8 909 482 00 55";"ТЭ Абдулманапов Гасан (чабан)";42.561800;47.868614;9 786.00;1;2026-02-01;2026-05-31
"ИП Умалатов Руслан Т/Д "Руслан",ул. Азизова,2 ,г.Избербаш т.8903 481 00 55";"ТЭ Абдулманапов Гасан (чабан)";42.577297;47.862391;97 425.00;3;2026-02-01;2026-05-31
"Мясомаркет ул.Джангишиева 58 п.Манаскент т.8960 419 30 50";"ТЭ Абдулманапов Гасан (чабан)";42.732123;47.677365;1 830.00;1;2026-02-01;2026-05-31
"Супермаркет "Баракат" с.Усемикент ул.Пролетарская г.Избербаш т.8963 425 84 23 Саврият ";"ТЭ Абдулманапов Гасан (чабан)";42.389604;47.869454;11 460.00;2;2026-02-01;2026-05-31
"Супермаркет "Вишня" г.Избербаш ул.Буйнакского109,т..8965-932-25-55";"ТЭ Абдулманапов Гасан (чабан)";42.573700;47.864168;27 319.00;2;2026-02-01;2026-05-31
"Супермаркет "Магам" г.Избербаш ул.Гамидова 69В,т..8967-391-63-36";"ТЭ Абдулманапов Гасан (чабан)";42.563021;47.870664;27 166.00;2;2026-02-01;2026-05-31
"Супермаркет "Мозайка" г.иИзбербаш ул.Октябрьская 148,т..8903-429-74-44";"ТЭ Абдулманапов Гасан (чабан)";42.586947;47.851771;32 873.00;2;2026-02-01;2026-05-31
"Супермаркет "Оптовых цен" г.Избербаш ул.Лермонтова 2А,т.8928 670 03 50";"ТЭ Абдулманапов Гасан (чабан)";42.577231;47.864158;19 679.00;2;2026-02-01;2026-05-31
"Супермаркет "Перекресток" село Каякент, ул. Шихсаидова 72. 8963 022 28 36.";"ТЭ Абдулманапов Гасан (чабан)";42.393644;47.904539;21 362.00;1;2026-02-01;2026-05-31
"Супермаркет "Точка"г.Избербаш ул.Буйнакского 113,т..8928-523-32-93";"ТЭ Абдулманапов Гасан (чабан)";42.573799;47.861106;50 489.00;1;2026-02-01;2026-05-31
"Супермаркет "Фреш" г.Избербаш ул.Абдулманапова 27Б,т..8989-665-86-09";"ТЭ Абдулманапов Гасан (чабан)";42.585273;47.844887;158 472.00;3;2026-02-01;2026-05-31
"Супермаркет" Премьер Каспий" с.Первомайск фед.трасса,тел.. 8(928) 932-22-24";"ТЭ Абдулманапов Гасан (чабан)";42.498071;47.902544;6 582.00;1;2026-02-01;2026-05-31
"Супермаркет" Хороший",г.Избербаш,  ул. Гамидова 83 т.8-989-47826-20 ";"ТЭ Абдулманапов Гасан (чабан)";42.568282;47.866909;222 429.00;3;2026-02-01;2026-05-31
"Хлебный домик г.Избербаш  ул.Дербентского 4 а т.8965 584 06 79 ";"ТЭ Абдулманапов Гасан (чабан)";42.578126;47.839060;5 502.00;2;2026-02-01;2026-05-31
" ИП Ахмедов Арсен Тажидинович. Гастроном "Дейли-маркет" ул. Халилова 32 т. 8903 482 97 86";"ТЭ Абдулхаликов Тагир (чабан)";42.898846;47.630590;685 836.00;28;2026-02-01;2026-05-31
" ИП Бамматов Сахават Б. Супермаркет. ул. Кавказская 28. г. Каспийск т. 8988 692 00 88";"ТЭ Абдулхаликов Тагир (чабан)";42.890238;47.616101;514 057.00;22;2026-02-01;2026-05-31
" ИП Исаев Магомедхан Дж.,  С-т "Паприка",  г.Каспийск ул.Ленина 27а  тел 8 903 423 74 46 Марьям ";"ТЭ Абдулхаликов Тагир (чабан)";42.895418;47.632442;1 783 537.00;35;2026-02-01;2026-05-31
" ИП Исаева Лиана О. Конд.цех"Паприка" ул.Ленина 27 (Антарес) 3 тел.8-966-555-53-92  г.Каспийск";"ТЭ Абдулхаликов Тагир (чабан)";42.895628;47.632366;65 206.00;4;2026-02-01;2026-05-31
" ИП Кадиев Рамин г.Каспийск, Супермаркет "Сити 3",ул.Кизилюртовская,12 т.8-918-846-50-47";"ТЭ Абдулхаликов Тагир (чабан)";42.898763;47.616240;1 621 081.00;32;2026-02-01;2026-05-31
" ИП Кадиев Рамин,  Супермаркет  "Сити", г. Каспийск  ул. Ленина 51 "В" ";"ТЭ Абдулхаликов Тагир (чабан)";42.900938;47.624599;2 785 394.00;32;2026-02-01;2026-05-31
" ИП Кадиева Сабина, Супермаркет "ЭКО-СИТИ", г.Каспийск,  ул.Омарова 11 т. 8906 481 5338";"ТЭ Абдулхаликов Тагир (чабан)";42.894905;47.619956;497 852.00;27;2026-02-01;2026-05-31
" ИП Курбанов Запир Анварович (Г-м "Все сразу")  ул. Акулиничева 23 т.: 989 896 88 88";"ТЭ Абдулхаликов Тагир (чабан)";42.905123;47.624099;792 539.00;24;2026-02-01;2026-05-31
" ИП Магамдерова Бесханум  Гастроном "24/7",  ул.Ленина 96 т.8903 469 64 20 т.8928 572 69 79 Таня";"ТЭ Абдулхаликов Тагир (чабан)";42.905823;47.616608;384 478.00;29;2026-02-01;2026-05-31
" ИП Мурсалов Икрамедин С.  Супермаркет "Горец" ул.Пригородная 5 т.8928 595 31 06 ";"ТЭ Абдулхаликов Тагир (чабан)";42.905686;47.608656;484 445.00;31;2026-02-01;2026-05-31
" ИП Набигулаев Магомед Х. "Супермаркет 11" г. ул. Орджоникидзе 13  т.8989-477-63-21";"ТЭ Абдулхаликов Тагир (чабан)";42.889846;47.635087;385 165.00;22;2026-02-01;2026-05-31
" ИП Рамазанов Магомед Муталибович Супермаркет "Арбуз - 2" г.Каспийск ул.Ахмедхана Султана 6   ";"ТЭ Абдулхаликов Тагир (чабан)";42.896272;47.624414;1 476 889.00;27;2026-02-01;2026-05-31
" ИП Салманов Абдуллах Суп-т "Урожай" ул.М.Ломоносова 28 г.Каспийск т.8928 582 83 88 Эльмира";"ТЭ Абдулхаликов Тагир (чабан)";42.882784;47.616046;646 131.00;30;2026-02-01;2026-05-31
" ИП Шабанова Суна Д. Супермаркет "АРБУЗ 1" г.Каспийск ул.Каспийская 9,т.89094843002";"ТЭ Абдулхаликов Тагир (чабан)";42.906798;47.610750;1 642 814.00;28;2026-02-01;2026-05-31
"Будка г. Каспийск ул. Ленина 60 (на углу) т. 8-965-486-49-07";"ТЭ Абдулхаликов Тагир (чабан)";42.899337;47.627575;13 249.00;1;2026-02-01;2026-05-31
"Гастроном " Визит",  г.Каспийск,  ул. Молодежная 2 т.89280634606";"ТЭ Абдулхаликов Тагир (чабан)";42.909383;47.615443;185 270.00;27;2026-02-01;2026-05-31
"Гастроном " Все для вас" ул. Хизроева 17 тел. 8989 672 61 01 Равзат ";"ТЭ Абдулхаликов Тагир (чабан)";42.891029;47.628626;47 299.00;8;2026-02-01;2026-05-31
"Гастроном " Пчелка маркет" ул. Каспийская 8";"ТЭ Абдулхаликов Тагир (чабан)";42.908294;47.609289;47 631.00;6;2026-02-01;2026-05-31
"Гастроном " Сабур " ул . Акулиничева 3 тел.8-988--786-88-68";"ТЭ Абдулхаликов Тагир (чабан)";42.901403;47.625456;18 785.00;3;2026-02-01;2026-05-31
"Гастроном " Фрешбар" ул. Молодежная  6 тел: 8960 414 80 06 Амир";"ТЭ Абдулхаликов Тагир (чабан)";42.910115;47.614756;245 600.00;31;2026-02-01;2026-05-31
"Гастроном "10" г.Каспийск  Западная 1. Сергият- 89657737776";"ТЭ Абдулхаликов Тагир (чабан)";42.904346;47.608233;82 478.00;18;2026-02-01;2026-05-31
"Гастроном "20"  ул. Омарова  20 т.  8 963 411 02 23 ";"ТЭ Абдулхаликов Тагир (чабан)";42.904494;47.615250;79 451.00;6;2026-02-01;2026-05-31
"Гастроном "26" ул. Ленина 26 т. 89886463229";"ТЭ Абдулхаликов Тагир (чабан)";42.892561;47.635025;99 476.00;7;2026-02-01;2026-05-31
"Гастроном "61"  ул. Ленина  61  т.  8 909 482 51 01 Джабир  ";"ТЭ Абдулхаликов Тагир (чабан)";42.903056;47.621900;223 703.00;32;2026-02-01;2026-05-31
"Гастроном "№37" ул.Хизроева 37 т. 8918 739 12 20";"ТЭ Абдулхаликов Тагир (чабан)";42.893468;47.637111;95 510.00;17;2026-02-01;2026-05-31
"Гастроном "№39" г. Каспийск ул.Хизроева 39 т. 89034981250";"ТЭ Абдулхаликов Тагир (чабан)";42.893924;47.628827;430 263.00;34;2026-02-01;2026-05-31
"Гастроном "Гияр" ул. Ленина 29  Мэри 8 967 936 70 44 ";"ТЭ Абдулхаликов Тагир (чабан)";42.895688;47.631922;56 253.00;5;2026-02-01;2026-05-31
"Гастроном "Зеленый сад", ул.Каспийская 6 т. 8 963 406 78 87 ";"ТЭ Абдулхаликов Тагир (чабан)";42.907599;47.610172;33 161.00;4;2026-02-01;2026-05-31
"Гастроном "Золотая осень" ул. Орджоникидзе 20 г. Каспийск ";"ТЭ Абдулхаликов Тагир (чабан)";42.892701;47.637600;52 642.00;15;2026-02-01;2026-05-31
"Гастроном "Имбирь"  ул, Ленина 86 т. 8963 370 90 80 ";"ТЭ Абдулхаликов Тагир (чабан)";42.901753;47.622170;140 389.00;27;2026-02-01;2026-05-31
"Гастроном "Каспийский" ул Иляшенко 1";"ТЭ Абдулхаликов Тагир (чабан)";42.894397;47.627358;141 874.00;13;2026-02-01;2026-05-31
"Гастроном "Корзина" ул. Кавказская 31 а  т. 8-988-777-05-59 Абиль";"ТЭ Абдулхаликов Тагир (чабан)";42.892279;47.618141;405 005.00;25;2026-02-01;2026-05-31
"Гастроном "Мирный". ул. Аликулиничева 33а. тел- 8930 216 27 77 - Арслан.";"ТЭ Абдулхаликов Тагир (чабан)";42.912220;47.613012;137 592.00;15;2026-02-01;2026-05-31
"Гастроном "Опт Лидер" г.Каспийск ул.Ленина 37 т. 8928 673 33 58 Марина";"ТЭ Абдулхаликов Тагир (чабан)";42.894070;47.632034;22 781.00;3;2026-02-01;2026-05-31
"Гастроном "Оптовик" г. Каспийск  ул. Халилова 33 т. 8 989 932 69 09 Ризван";"ТЭ Абдулхаликов Тагир (чабан)";42.897718;47.630507;438 124.00;16;2026-02-01;2026-05-31
"Гастроном "Приморский", Каспийск,  ул.Хизроева 20б т. 8964 001 76 78";"ТЭ Абдулхаликов Тагир (чабан)";42.889378;47.628137;109 019.00;5;2026-02-01;2026-05-31
"Гастроном "Радуга" г.Каспийск ул.Ильяшенко 2,тел:8988-452-15-92";"ТЭ Абдулхаликов Тагир (чабан)";42.896408;47.625692;126 554.00;16;2026-02-01;2026-05-31
"Гастроном "С торца" ул.Халилова 20  т. 8964 015 13 37";"ТЭ Абдулхаликов Тагир (чабан)";42.895316;47.636138;38 698.00;9;2026-02-01;2026-05-31
"Гастроном "Семья" ул Омарова 9 г.Каспийск";"ТЭ Абдулхаликов Тагир (чабан)";42.896013;47.621465;174 113.00;19;2026-02-01;2026-05-31
"Гастроном "Сумайя". Каспийск. ул. Ильященко 2. т. 8963 426 12 96 ";"ТЭ Абдулхаликов Тагир (чабан)";42.896408;47.625692;64 903.00;7;2026-02-01;2026-05-31
"Гастроном "Улей",г. Каспийск, ул. Каспийская 4г. т. 8988 304 85 07 Ханума";"ТЭ Абдулхаликов Тагир (чабан)";42.908252;47.612681;50 069.00;5;2026-02-01;2026-05-31
"Гастроном "Фемили-Маркет", г.Каспийск, ул.Кавказская 31А  т. 8-928-679-65-26  Бадрудтин";"ТЭ Абдулхаликов Тагир (чабан)";42.891192;47.617960;257 246.00;16;2026-02-01;2026-05-31
"Гастроном "Фруктово" г,.Каспийск ул, Кавказская 4в  т,8918 730 54 93 Камал";"ТЭ Абдулхаликов Тагир (чабан)";42.897384;47.624832;77 865.00;8;2026-02-01;2026-05-31
"Гастроном "Хаир" ул. Ленина 33 8 965 488 72 08";"ТЭ Абдулхаликов Тагир (чабан)";42.897284;47.630778;241 237.00;30;2026-02-01;2026-05-31
"Гастроном "Холодок",  ул.Аэропортовское 3 т. 8967 012 99 99";"ТЭ Абдулхаликов Тагир (чабан)";42.882022;47.620840;144 143.00;15;2026-02-01;2026-05-31
"Гастроном "Хороший ",  г Каспийск ул.Аметхана Султана 2в";"ТЭ Абдулхаликов Тагир (чабан)";42.897360;47.625396;104 617.00;10;2026-02-01;2026-05-31
"Гастроном "Ясин", г.Каспийск,  ул.Пригородная 5в  т.8-988-205-11-33";"ТЭ Абдулхаликов Тагир (чабан)";42.905156;47.606531;293 083.00;30;2026-02-01;2026-05-31
"Гастроном (угловой), г.Каспийск,  ул.Ленина 98а т. 8 989 898 43 56 ";"ТЭ Абдулхаликов Тагир (чабан)";42.905681;47.614378;106 353.00;11;2026-02-01;2026-05-31
"Гастроном №37 ул.Орджоникидзе 22 г.Каспийск т.8963 425 66 44 ";"ТЭ Абдулхаликов Тагир (чабан)";42.894193;47.631835;45 498.00;3;2026-02-01;2026-05-31
"Гастроном ул.Кизилюртовская 22а, г.Каспийск  т.8-989-869-60-78  Эльмира";"ТЭ Абдулхаликов Тагир (чабан)";42.902903;47.611931;272 303.00;25;2026-02-01;2026-05-31
"Гастроном, г.Каспийск, ул.Каспийская, 4г   т.8 988 641 80 80";"ТЭ Абдулхаликов Тагир (чабан)";42.907743;47.613021;135 430.00;16;2026-02-01;2026-05-31
"Гастроном, Кавказская 28 (угловой)  89285448810";"ТЭ Абдулхаликов Тагир (чабан)";42.890163;47.616509;47 687.00;6;2026-02-01;2026-05-31
"Гастроном, ул.Кизилюртовская  20а  Карина т.89285282445";"ТЭ Абдулхаликов Тагир (чабан)";42.903004;47.612775;205 224.00;23;2026-02-01;2026-05-31
"Гастроном(универсам) г.Каспийск ул.Азиза Алиева 1 8 963 415 98 78 Цибац";"ТЭ Абдулхаликов Тагир (чабан)";42.892083;47.627905;167 583.00;22;2026-02-01;2026-05-31
"ИП Абакаров Шаглар А.Гастроном"Минимаркет" ул.Каспийское шоссе 17Б,т..8988-296-55-37 Шаглар";"ТЭ Абдулхаликов Тагир (чабан)";42.884547;47.616713;159 362.00;16;2026-02-01;2026-05-31
"ИП Исланов Эмир Т. Супермаркет "Глобус" г.Каспийск ул.Каспийская 8 т.8(964) 360 55 55";"ТЭ Абдулхаликов Тагир (чабан)";42.908569;47.609021;718 993.00;32;2026-02-01;2026-05-31
"ИП Кадимов Б. В. Супермаркет "Вкус Лайт". г. Каспийск. ул. М.Магомеджанова 5. т. 8967 402 10 21";"ТЭ Абдулхаликов Тагир (чабан)";42.895123;47.620980;875 327.00;30;2026-02-01;2026-05-31
"ИП Умарова Загидат С.,  Магазин "Лайм" ул. Молодежная 2 тел. 8963 411 15 41";"ТЭ Абдулхаликов Тагир (чабан)";42.910123;47.616434;107 324.00;8;2026-02-01;2026-05-31
"ИП Шахбанова Аминат  Зубайруевна  Минимаркет "Наш" ул.Советская 22 т. 89 63 405 34 34 Амина ";"ТЭ Абдулхаликов Тагир (чабан)";42.891352;47.632880;19 687.00;2;2026-02-01;2026-05-31
"Кафе "Мацарелла" ул. Ленина 51Б 8928 877 37 91 Айгум";"ТЭ Абдулхаликов Тагир (чабан)";42.901965;47.623086;9 481.00;1;2026-02-01;2026-05-31
"Кафе "Суфра" ул.  Дербентская 10 т.89884582727 Марзият";"ТЭ Абдулхаликов Тагир (чабан)";42.898323;47.616357;4 149.00;1;2026-02-01;2026-05-31
"Кофейня на ул.Советская 23, тел:8(966)-555-53-92";"ТЭ Абдулхаликов Тагир (чабан)";42.888673;47.636667;48 635.00;7;2026-02-01;2026-05-31
"Мини-маркет "Лабиринт", г.Каспийск,ул,Акулиничева 14, т. 8963 423 52 18 Ума";"ТЭ Абдулхаликов Тагир (чабан)";42.903537;47.624630;472 677.00;32;2026-02-01;2026-05-31
"Мини-маркет ул.Халилова 48 А ";"ТЭ Абдулхаликов Тагир (чабан)";42.911701;47.612892;14 497.00;3;2026-02-01;2026-05-31
"Минимаркет  "Герек" ул. Халилова 30 а т.   (бывший "Фреш" ) т. 8986 111 11 60 ";"ТЭ Абдулхаликов Тагир (чабан)";42.896997;47.632663;125 191.00;17;2026-02-01;2026-05-31
"ООО "Зелантика Вива"   С/М"Зеленый Маркет", Каспийск. ул. Ленина 53";"ТЭ Абдулхаликов Тагир (чабан)";42.902864;47.621823;415 830.00;13;2026-02-01;2026-05-31
"Опт-Маркет "Саада". г.  Каспийск.  ул. Кавказская 31 а т. 8926 528 66 70 Сиянат";"ТЭ Абдулхаликов Тагир (чабан)";42.891846;47.619573;45 269.00;2;2026-02-01;2026-05-31
"Оптовик " Эко- маркет" ул. Ленина 70 а т. 8-967-398-87-03";"ТЭ Абдулхаликов Тагир (чабан)";42.899517;47.629739;546 463.00;29;2026-02-01;2026-05-31
"Супемаркет "Кокос-4" ул.Магомеджанова 12А (Кавказская 12В). тел. 8988 654 41 64 Гаджи";"ТЭ Абдулхаликов Тагир (чабан)";42.896151;47.620533;432 324.00;31;2026-02-01;2026-05-31
"Супермаркет " Кокос " г. Каспийск ул. Халилова 19 а т. 8-906-498-23-09";"ТЭ Абдулхаликов Тагир (чабан)";42.894999;47.634153;123 957.00;15;2026-02-01;2026-05-31
"Супермаркет " Кокос-2 " г.Каспийск ул.Ленина 82, тел:8916 576 91 19";"ТЭ Абдулхаликов Тагир (чабан)";42.901039;47.623620;584 078.00;31;2026-02-01;2026-05-31
"Супермаркет " Оптовый " г, Каспийск ул , Халилова 12 т. 8-964-049--66-05 Раджаб";"ТЭ Абдулхаликов Тагир (чабан)";42.893814;47.638200;642 283.00;28;2026-02-01;2026-05-31
"Супермаркет " У дома 3" , Пригородная 5, т. 8 922 965 00 77 Марат";"ТЭ Абдулхаликов Тагир (чабан)";42.905061;47.607911;393 646.00;13;2026-02-01;2026-05-31
"Супермаркет "Азбука вкусов" г.Каспийск ул.Акулиничева 8 т. 8 928 566 54 16 Мухаммад";"ТЭ Абдулхаликов Тагир (чабан)";42.902155;47.627300;86 595.00;4;2026-02-01;2026-05-31
"Супермаркет "Айва", г. Каспийск. ул. Омарова 9в. т. 8918 737 10 56 Саида";"ТЭ Абдулхаликов Тагир (чабан)";42.901004;47.614963;233 014.00;15;2026-02-01;2026-05-31
"Супермаркет "Вишня" г.Каспийск ул.Хизроева 33 т:8(989)4641666";"ТЭ Абдулхаликов Тагир (чабан)";42.892152;47.630630;44 444.00;2;2026-02-01;2026-05-31
"Супермаркет "Глобус" ул.Каспийская 8 "а" тел: 8(964) 360 55 55";"ТЭ Абдулхаликов Тагир (чабан)";42.908593;47.609008;2 049.00;2;2026-02-01;2026-05-31
"Супермаркет "Добрый" г.Каспийск ул.Батманова 12 (Кизилюрт-я),т..8927-556-23-33 Казбек";"ТЭ Абдулхаликов Тагир (чабан)";42.898579;47.616536;20 366.00;1;2026-02-01;2026-05-31
"Супермаркет "Кокос-3", г.Каспийск, ул.Акулиничева 6, т. 8-906 498 32 09 ";"ТЭ Абдулхаликов Тагир (чабан)";42.901536;47.626944;810 399.00;33;2026-02-01;2026-05-31
"Супермаркет "Кокос" ул.Омарова 22 тел: 8 963 404 05 21";"ТЭ Абдулхаликов Тагир (чабан)";42.904472;47.615139;335 977.00;31;2026-02-01;2026-05-31
"Супермаркет "Лайм" г. Каспийск ул. Кавказская 31 а т. 8 964 000 70 07 ";"ТЭ Абдулхаликов Тагир (чабан)";42.892214;47.618031;395 158.00;29;2026-02-01;2026-05-31
"Супермаркет "Лимон", ул. Хизроева 18 т. 8-928-557-27-54";"ТЭ Абдулхаликов Тагир (чабан)";42.890681;47.628572;59 312.00;4;2026-02-01;2026-05-31
"Супермаркет "Мечта" ул, Ленина 51 б т.8964 018 57 42 Нарипат (89633753308 Мурад)";"ТЭ Абдулхаликов Тагир (чабан)";42.901606;47.624454;378 395.00;31;2026-02-01;2026-05-31
"Супермаркет "Новый Продуктовый" ул.Халилова 48"Б"  т.8-909-485-14-23  Зайнаб";"ТЭ Абдулхаликов Тагир (чабан)";42.899337;47.627575;58 649.00;4;2026-02-01;2026-05-31
"Супермаркет "НУР" ул.Акулиничева 1 г.Каспийск  8 988 294 92 25 Зара ";"ТЭ Абдулхаликов Тагир (чабан)";42.900859;47.625367;49 489.00;8;2026-02-01;2026-05-31
"Супермаркет "Оптовик" г.Каспийск ул.Ленина 39 ,т..8988-438-77-70";"ТЭ Абдулхаликов Тагир (чабан)";42.899817;47.627292;187 164.00;10;2026-02-01;2026-05-31
"Супермаркет "Продуктовая Лавка" г.Каспийск ул.Цилинского 33 т.8964 059 29 99";"ТЭ Абдулхаликов Тагир (чабан)";42.915769;47.596780;71 495.00;9;2026-02-01;2026-05-31
"Супермаркет "У Дома 2" ул.Кавказская 18 т.8922 965 00 77";"ТЭ Абдулхаликов Тагир (чабан)";42.892702;47.617499;563 901.00;22;2026-02-01;2026-05-31
"Супермаркет "У дома" г.Каспийск ул.Кизилюртовская 20 т. 8 922 965 00 77 Марат";"ТЭ Абдулхаликов Тагир (чабан)";42.901778;47.611555;230 241.00;12;2026-02-01;2026-05-31
"Супермаркет "Фасоль" г.Каспийск ул.Камиля Гасанова 6 т.8964 015 09 26 Магомед";"ТЭ Абдулхаликов Тагир (чабан)";42.901241;47.618820;131 505.00;6;2026-02-01;2026-05-31
"Супермаркет, ул.Омарова 14 а т.8958-555-27-22 Маргарита.";"ТЭ Абдулхаликов Тагир (чабан)";42.901321;47.619629;966 620.00;32;2026-02-01;2026-05-31
"Фрукты-овощи ул.Каспийская 8 т.89898875758 Гаджимурад г.Каспийск";"ТЭ Абдулхаликов Тагир (чабан)";42.907971;47.609738;104 361.00;7;2026-02-01;2026-05-31
" ИП Залитинов Биярслан Русланович . С-т "Европейский" ул.Танкаева д.16,т..8928-561-16-16";"ТЭ Абдухаликова Арина (чабан)";42.980607;47.492478;242 319.00;2;2026-02-01;2026-05-31
" ИП Малаева Заира П.,Миним-т "Красное Яблочко",ул Абдулхакима Исмаилова 45 В, т 8-962-775-55-16";"ТЭ Абдухаликова Арина (чабан)";42.969638;47.481088;58 682.00;3;2026-02-01;2026-05-31
"Выпечка " Шоко Белла " ул. Шамиля 18 ж т. 8-928-871-50-60";"ТЭ Абдухаликова Арина (чабан)";42.978738;47.476257;19 450.00;2;2026-02-01;2026-05-31
"Выпечка ул.Мурсалова 51 Зухра 8 928 576 18 40";"ТЭ Абдухаликова Арина (чабан)";42.975195;47.470867;89 541.00;14;2026-02-01;2026-05-31
"Выпечка, ул.Мурсалова 51  т. 8 928 576 18 40  Зухра";"ТЭ Абдухаликова Арина (чабан)";42.975222;47.470515;50 157.00;6;2026-02-01;2026-05-31
"Гастроном   "Оптовый Микс",ул. Энгельса 25 В( ул. Абдулхакима Исмаилова44) т 8 999 418  75 79 Джамал";"ТЭ Абдухаликова Арина (чабан)";42.974442;47.477616;335 014.00;15;2026-02-01;2026-05-31
"Гастроном " №05", ул. Энгельса 38 тел. 8928 570 42 43 Загидат";"ТЭ Абдухаликова Арина (чабан)";42.971138;47.480259;103 935.00;6;2026-02-01;2026-05-31
"Гастроном " Виноградка " ул. Виноградная 8б  т: 8 928 566 44 88 ";"ТЭ Абдухаликова Арина (чабан)";42.969207;47.482093;30 351.00;1;2026-02-01;2026-05-31
"Гастроном " Квартал " ул. Энгельса 50 т: 8 989 895 22 88 ";"ТЭ Абдухаликова Арина (чабан)";42.967978;47.484372;173 085.00;25;2026-02-01;2026-05-31
"Гастроном " Мир вкуса" ул . Энгельса 56  т:8 928 801 59 18";"ТЭ Абдухаликова Арина (чабан)";42.968288;47.484790;49 872.00;12;2026-02-01;2026-05-31
